asin,title,price,rating,image,product_url,ad_or_organic
B0DZF1485D,,"₹1,31,900.00",4.6 out of 5 stars.,,,Organic
B0DLJ82ZMT,,"₹2,01,990.00",4.1 out of 5 stars.,,,Organic
B0FWD948HC,,"₹1,64,490.00",5 out of 5 stars.,,,Organic
B0FKLYPDLQ,,"₹11,990",3.9 out of 5 stars,https://m.media-amazon.com/images/I/71A9yCXgOnL._AC_UY218_.jpg,https://www.amazon.in/Ultimus-Pentium-Laptop-Expandable-512GB-Speaker/dp/B0FKLYPDLQ/ref=sr_1_6?dib=eyJ2IjoiMSJ9.3esdK-8sSKKsoA-5uKgrXlL0UuxIRGp8kNWtxW6l2n9YUrYm7HUSl1XDjV0eeZxpf70_aMxKs2WLkm-RqsO2J8VDE0NoZw5Xty8ckuRKIvLENyHtLsZm0NKILiBXwkBmXpnqYFAjb4rBXnfqbtBdfHqKGdG8IyRDy8HGbkKZzbk6yLbEcsnD07dCC2RSO0155L6PvCE-j2rW_keHZzZemDzV_hrin698tVrAfe3z9EY._IWuiFgpsG-cpaXD0YWi3omVUzsKGrgZKsYHbZN_3GQ&dib_tag=se&keywords=laptop&qid=1763184277&sr=8-6,Organic
B0FKLYPDLQ,,,,,,Organic
B0C6DTCSTV,,"₹12,990",3.2 out of 5 stars,https://m.media-amazon.com/images/I/617Wk7g3R7L._AC_UY218_.jpg,https://www.amazon.in/Walker-Resolution-Graphics-Mini-HDMI-Bluetooth/dp/B0C6DTCSTV/ref=sr_1_7?dib=eyJ2IjoiMSJ9.3esdK-8sSKKsoA-5uKgrXlL0UuxIRGp8kNWtxW6l2n9YUrYm7HUSl1XDjV0eeZxpf70_aMxKs2WLkm-RqsO2J8VDE0NoZw5Xty8ckuRKIvLENyHtLsZm0NKILiBXwkBmXpnqYFAjb4rBXnfqbtBdfHqKGdG8IyRDy8HGbkKZzbk6yLbEcsnD07dCC2RSO0155L6PvCE-j2rW_keHZzZemDzV_hrin698tVrAfe3z9EY._IWuiFgpsG-cpaXD0YWi3omVUzsKGrgZKsYHbZN_3GQ&dib_tag=se&keywords=laptop&qid=1763184277&sr=8-7,Organic
B0C6DTCSTV,,,,,,Organic
B0FH71SN5N,,"₹47,400",4.2 out of 5 stars,https://m.media-amazon.com/images/I/81leoJuYYaL._AC_UY218_.jpg,https://www.amazon.in/Lenovo-IdeaPad-i5-12450H-Anti-glare-83ER00MDIN/dp/B0FH71SN5N/ref=sr_1_8?dib=eyJ2IjoiMSJ9.3esdK-8sSKKsoA-5uKgrXlL0UuxIRGp8kNWtxW6l2n9YUrYm7HUSl1XDjV0eeZxpf70_aMxKs2WLkm-RqsO2J8VDE0NoZw5Xty8ckuRKIvLENyHtLsZm0NKILiBXwkBmXpnqYFAjb4rBXnfqbtBdfHqKGdG8IyRDy8HGbkKZzbk6yLbEcsnD07dCC2RSO0155L6PvCE-j2rW_keHZzZemDzV_hrin698tVrAfe3z9EY._IWuiFgpsG-cpaXD0YWi3omVUzsKGrgZKsYHbZN_3GQ&dib_tag=se&keywords=laptop&qid=1763184277&sr=8-8,Organic
B0FH71SN5N,,,,,,Organic
B0F29HNJL1,,"₹35,890",4.0 out of 5 stars,https://m.media-amazon.com/images/I/71aup0IO2ZL._AC_UY218_.jpg,https://www.amazon.in/Lenovo-Graphics-5500Mhz-Windows-Warranty/dp/B0F29HNJL1/ref=sr_1_9?dib=eyJ2IjoiMSJ9.3esdK-8sSKKsoA-5uKgrXlL0UuxIRGp8kNWtxW6l2n9YUrYm7HUSl1XDjV0eeZxpf70_aMxKs2WLkm-RqsO2J8VDE0NoZw5Xty8ckuRKIvLENyHtLsZm0NKILiBXwkBmXpnqYFAjb4rBXnfqbtBdfHqKGdG8IyRDy8HGbkKZzbk6yLbEcsnD07dCC2RSO0155L6PvCE-j2rW_keHZzZemDzV_hrin698tVrAfe3z9EY._IWuiFgpsG-cpaXD0YWi3omVUzsKGrgZKsYHbZN_3GQ&dib_tag=se&keywords=laptop&qid=1763184277&sr=8-9,Organic
B0F29HNJL1,,,,,,Organic
B0F5WTFC3D,,"₹17,990",3.6 out of 5 stars,https://m.media-amazon.com/images/I/713QmwFZbsL._AC_UY218_.jpg,https://www.amazon.in/ULTIMUS-Laptop-Celeron-Expandable-1TB-Anti-Glare/dp/B0F5WTFC3D/ref=sr_1_10?dib=eyJ2IjoiMSJ9.3esdK-8sSKKsoA-5uKgrXlL0UuxIRGp8kNWtxW6l2n9YUrYm7HUSl1XDjV0eeZxpf70_aMxKs2WLkm-RqsO2J8VDE0NoZw5Xty8ckuRKIvLENyHtLsZm0NKILiBXwkBmXpnqYFAjb4rBXnfqbtBdfHqKGdG8IyRDy8HGbkKZzbk6yLbEcsnD07dCC2RSO0155L6PvCE-j2rW_keHZzZemDzV_hrin698tVrAfe3z9EY._IWuiFgpsG-cpaXD0YWi3omVUzsKGrgZKsYHbZN_3GQ&dib_tag=se&keywords=laptop&qid=1763184277&sr=8-10,Organic
B0F5WTFC3D,,,,,,Organic
